aX,aY,aZ,gX,gY,gZ
0.599,0.275,-0.696,-2.258,-3.540,0.244
0.605,0.267,-0.699,-0.916,-2.686,-0.122
0.626,0.256,-0.709,0.427,-0.244,-1.038
0.645,0.237,-0.720,0.854,-0.305,-1.404
0.664,0.223,-0.735,1.892,0.183,-1.282
0.671,0.214,-0.741,-0.122,-1.709,-1.282
0.663,0.213,-0.739,-1.709,-3.662,-1.038
0.650,0.219,-0.736,-2.380,-4.639,-0.854
0.645,0.225,-0.734,-2.380,-6.042,-0.427
0.640,0.235,-0.730,-2.014,-6.226,-0.732
0.627,0.243,-0.716,-1.465,-6.470,-1.282
0.613,0.242,-0.717,-0.305,-5.493,-1.465
0.606,0.236,-0.715,1.282,-3.357,-1.160
0.609,0.231,-0.708,1.831,-1.282,-0.732
0.620,0.232,-0.715,1.953,0.977,0.549
0.634,0.231,-0.735,0.427,3.052,1.404
0.645,0.238,-0.746,-0.244,3.235,2.258
0.653,0.243,-0.754,-0.305,2.441,2.563
0.652,0.246,-0.760,-0.610,0.793,2.258
0.642,0.250,-0.762,-1.343,-1.587,1.587
0.630,0.250,-0.763,0.305,-2.502,1.343
0.625,0.247,-0.755,0.793,-3.418,0.854
0.628,0.242,-0.738,0.854,-4.150,0.671
0.625,0.242,-0.722,0.000,-4.517,0.671
0.626,0.245,-0.711,-1.099,-4.456,0.854
0.627,0.244,-0.701,-1.709,-4.395,1.282
0.628,0.243,-0.697,-1.770,-3.723,1.587
0.631,0.239,-0.698,-1.587,-2.502,1.648
0.640,0.236,-0.707,-0.916,-1.831,1.587
0.644,0.235,-0.710,-0.427,-1.770,1.709
0.645,0.237,-0.714,-0.305,-1.526,1.587
0.645,0.241,-0.715,-0.122,-1.221,1.404
0.652,0.248,-0.716,0.122,-2.258,1.648
0.661,0.254,-0.721,-0.061,-2.075,0.977
0.668,0.256,-0.726,-0.488,-2.441,0.000
0.670,0.250,-0.724,-0.916,-3.479,-0.854
0.661,0.237,-0.715,-0.977,-4.578,-0.916
0.650,0.229,-0.704,-1.770,-4.822,-1.099

-0.695,0.432,2.172,36.072,14.648,-6.042
-0.658,0.410,2.389,33.997,54.382,-10.559
-0.652,0.437,2.506,35.706,87.524,-13.916
-0.682,0.419,2.543,49.622,112.122,-13.855
-0.690,0.371,2.622,71.350,135.559,-14.893
-0.693,0.187,2.748,91.064,168.030,-20.569
-0.615,-0.038,2.817,95.154,206.848,-25.330
-0.612,-0.175,2.826,79.529,236.877,-24.048
-0.594,-0.222,2.702,49.561,268.372,-21.912
-0.575,-0.183,2.524,22.339,299.255,-19.897
-0.548,-0.174,2.279,6.409,330.078,-16.724
-0.495,-0.174,1.931,2.441,361.267,-7.690
-0.409,-0.173,1.565,6.042,389.587,3.906
-0.335,-0.166,1.276,10.681,406.921,15.808
-0.309,-0.149,1.066,10.925,410.217,22.339
-0.325,-0.168,0.940,5.066,405.701,22.156
-0.363,-0.184,0.816,-7.690,402.283,21.423
-0.420,-0.135,0.693,-21.240,403.809,26.428
-0.474,-0.097,0.589,-31.860,408.752,37.476
-0.541,-0.056,0.496,-43.884,415.649,46.570
-0.612,0.019,0.342,-60.303,423.035,50.476
-0.600,0.050,0.132,-75.500,431.763,52.734
-0.562,0.081,-0.072,-83.618,436.646,53.467
-0.480,0.125,-0.229,-80.566,436.462,53.345
-0.393,0.189,-0.431,-69.275,426.941,53.345
-0.326,0.210,-0.519,-57.495,414.062,49.988
-0.234,0.228,-0.586,-47.913,397.949,41.626
-0.145,0.211,-0.650,-38.696,378.784,31.677
-0.071,0.212,-0.711,-28.320,357.483,23.132
-0.018,0.197,-0.735,-14.954,337.524,16.235
0.029,0.154,-0.756,1.465,319.275,13.794
0.091,0.100,-0.742,15.198,303.589,16.296
0.125,0.065,-0.744,16.357,289.490,20.935
0.141,0.051,-0.783,3.723,276.245,25.452
0.184,0.081,-0.872,-15.015,264.648,27.832
0.234,0.100,-0.976,-30.457,253.052,29.602
0.339,0.157,-1.096,-35.706,239.380,32.104
0.372,0.158,-1.151,-31.433,221.130,34.851
0.437,0.153,-1.187,-26.489,204.773,37.048
0.477,0.146,-1.165,-24.353,186.646,37.537
0.477,0.157,-1.166,-26.550,167.297,36.011
0.488,0.194,-1.180,-28.687,151.794,33.813
0.512,0.240,-1.182,-25.818,137.939,30.640
0.520,0.263,-1.171,-19.226,125.061,25.269
0.507,0.265,-1.152,-9.827,111.877,18.982
0.469,0.243,-1.123,-0.854,101.868,14.343
